Week,Churrasco,Easter,Carnaval,Republic
10/20/2019,52,0,0,0
10/27/2019,49,0,0,0
11/3/2019,48,0,0,0
11/10/2019,54,0,0,1
11/17/2019,46,0,0,0
11/24/2019,50,0,0,0
12/1/2019,59,0,0,0
12/8/2019,53,0,0,0
12/15/2019,56,0,0,0
12/22/2019,76,0,0,0
12/29/2019,76,0,0,0
1/5/2020,42,0,0,0
1/12/2020,45,0,0,0
1/19/2020,41,0,0,0
1/26/2020,41,0,0,0
2/2/2020,41,0,0,0
2/9/2020,39,0,0,0
2/16/2020,40,0,0,0
2/23/2020,47,0,1,0
3/1/2020,39,0,0,0
3/8/2020,38,0,0,0
3/15/2020,30,0,0,0
3/22/2020,34,0,0,0
3/29/2020,35,0,0,0
4/5/2020,34,0,0,0
4/12/2020,38,1,0,0
4/19/2020,48,0,0,0
4/26/2020,52,0,0,0
5/3/2020,69,0,0,0
5/10/2020,48,0,0,0
5/17/2020,44,0,0,0
5/24/2020,46,0,0,0
5/31/2020,46,0,0,0
6/7/2020,49,0,0,0
6/14/2020,48,0,0,0
6/21/2020,50,0,0,0
6/28/2020,47,0,0,0
7/5/2020,50,0,0,0
7/12/2020,48,0,0,0
7/19/2020,54,0,0,0
7/26/2020,54,0,0,0
8/2/2020,62,0,0,0
8/9/2020,51,0,0,0
8/16/2020,41,0,0,0
8/23/2020,42,0,0,0
8/30/2020,46,0,0,0
9/6/2020,49,0,0,0
9/13/2020,45,0,0,0
9/20/2020,47,0,0,0
9/27/2020,44,0,0,0
10/4/2020,37,0,0,0
10/11/2020,50,0,0,0
10/18/2020,45,0,0,0
10/25/2020,45,0,0,0
11/1/2020,47,0,0,0
11/8/2020,42,0,0,0
11/15/2020,41,0,0,1
11/22/2020,47,0,0,0
11/29/2020,46,0,0,0
12/6/2020,45,0,0,0
12/13/2020,49,0,0,0
12/20/2020,69,0,0,0
12/27/2020,100,0,0,0
1/3/2021,44,0,0,0
1/10/2021,44,0,0,0
1/17/2021,43,0,0,0
1/24/2021,46,0,0,0
