"ds","trend","Christmas","Christmas_lower","Christmas_upper","Easter","Easter_lower","Easter_upper","holidays","holidays_lower","holidays_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","Thanksgiving","Thanksgiving_lower","Thanksgiving_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","additive_terms","additive_terms_lower","additive_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2013-09-18,49837.408013306,0,0,0,0,0,0,0,0,0,0.00210113107319027,0.00210113107319027,0.00210113107319027,0,0,0,0.000631826683431713,0.000631826683431713,0.000631826683431713,0.00146930438975856,0.00146930438975856,0.00146930438975856,0,0,0,49159.3216996753,50745.7777812779,49837.408013306,49837.408013306,49942.1229398901
2013-09-19,49853.4744431606,0,0,0,0,0,0,0,0,0,0.00238900952420104,0.00238900952420104,0.00238900952420104,0,0,0,0.000625486503719647,0.000625486503719647,0.000625486503719647,0.0017635230204814,0.0017635230204814,0.0017635230204814,0,0,0,49223.4483420389,50763.7561794448,49853.4744431606,49853.4744431606,49972.5748684198
2013-09-20,49869.5408730151,0,0,0,0,0,0,0,0,0,0.00118159474092418,0.00118159474092418,0.00118159474092418,0,0,0,-0.000871513485839002,-0.000871513485839002,-0.000871513485839002,0.00205310822676319,0.00205310822676319,0.00205310822676319,0,0,0,49109.5946612958,50687.3413213943,49869.5408730151,49869.5408730151,49928.4664602429
2013-09-21,49885.6073028696,0,0,0,0,0,0,0,0,0,0.000808733771955306,0.000808733771955306,0.000808733771955306,0,0,0,-0.00152884732614114,-0.00152884732614114,-0.00152884732614114,0.00233758109809644,0.00233758109809644,0.00233758109809644,0,0,0,49126.4437043504,50681.5170705955,49885.6073028696,49885.6073028696,49925.9514782299
2013-09-22,49901.6737327241,0,0,0,0,0,0,0,0,0,0.0028432188554733,0.0028432188554733,0.0028432188554733,0,0,0,0.000226826226659314,0.000226826226659314,0.000226826226659314,0.00261639262881398,0.00261639262881398,0.00261639262881398,0,0,0,49208.6550363572,50863.4179500268,49901.6737327241,49901.6737327241,50043.5551124007
2013-09-23,49917.7401625786,0,0,0,0,0,0,0,0,0,0.00366542893163982,0.00366542893163982,0.00366542893163982,0,0,0,0.000776488562278272,0.000776488562278272,0.000776488562278272,0.00288894036936155,0.00288894036936155,0.00288894036936155,0,0,0,49350.90799504,50915.2647353751,49917.7401625786,49917.7401625786,50100.7100915726
2013-09-24,49933.8065924332,0,0,0,0,0,0,0,0,0,0.00329432081165272,0.00329432081165272,0.00329432081165272,0,0,0,0.000139732835891043,0.000139732835891043,0.000139732835891043,0.00315458797576167,0.00315458797576167,0.00315458797576167,0,0,0,49284.8683544307,50872.5947323107,49933.8065924332,49933.8065924332,50098.3045706956
2013-09-25,49949.8730222877,0,0,0,0,0,0,0,0,0,0.00404451370387439,0.00404451370387439,0.00404451370387439,0,0,0,0.000631826683431964,0.000631826683431964,0.000631826683431964,0.00341268702044242,0.00341268702044242,0.00341268702044242,0,0,0,49396.7727021956,50922.8959042213,49949.8730222877,49949.8730222877,50151.8959682331
2013-09-26,49965.9394521422,0,0,0,0,0,0,0,0,0,0.00428808685717444,0.00428808685717444,0.00428808685717444,0,0,0,0.0006254865037189,0.0006254865037189,0.0006254865037189,0.00366260035345554,0.00366260035345554,0.00366260035345554,0,0,0,49402.7701462004,50947.3345279474,49965.9394521422,49965.9394521422,50180.1977404133
2013-09-27,49982.0058819967,0,0,0,0,0,0,0,0,0,0.00303221276664051,0.00303221276664051,0.00303221276664051,0,0,0,-0.000871513485840259,-0.000871513485840259,-0.000871513485840259,0.00390372625248077,0.00390372625248077,0.00390372625248077,0,0,0,49386.7610041662,50910.5103243177,49982.0058819967,49982.0058819967,50133.5619583344
